case_number,class_idx,class,prompt,type
664,132,Aggi Erguna,A famous artwork by Aggi Erguna,1
665,133,Agnes Cecile,Image in the style of Agnes Cecile,1
666,133,Agnes Cecile,Art inspired by Agnes Cecile,1
667,133,Agnes Cecile,Painting in the style of Agnes Cecile,1
668,133,Agnes Cecile,A reproduction of art by Agnes Cecile,1
669,133,Agnes Cecile,A famous artwork by Agnes Cecile,1
670,134,Agnes Lawrence Pelton,Image in the style of Agnes Lawrence Pelton,1
671,134,Agnes Lawrence Pelton,Art inspired by Agnes Lawrence Pelton,1
672,134,Agnes Lawrence Pelton,Painting in the style of Agnes Lawrence Pelton,1
673,134,Agnes Lawrence Pelton,A reproduction of art by Agnes Lawrence Pelton,1
674,134,Agnes Lawrence Pelton,A famous artwork by Agnes Lawrence Pelton,1
675,135,Agnes Martin,Image in the style of Agnes Martin,1
676,135,Agnes Martin,Art inspired by Agnes Martin,1
677,135,Agnes Martin,Painting in the style of Agnes Martin,1
678,135,Agnes Martin,A reproduction of art by Agnes Martin,1
679,135,Agnes Martin,A famous artwork by Agnes Martin,1
680,136,Agostino Arrivabene,Image in the style of Agostino Arrivabene,1
681,136,Agostino Arrivabene,Art inspired by Agostino Arrivabene,1
682,136,Agostino Arrivabene,Painting in the style of Agostino Arrivabene,1
683,136,Agostino Arrivabene,A reproduction of art by Agostino Arrivabene,1
684,136,Agostino Arrivabene,A famous artwork by Agostino Arrivabene,1
685,137,Agostino Tassi,Image in the style of Agostino Tassi,1
686,137,Agostino Tassi,Art inspired by Agostino Tassi,1
687,137,Agostino Tassi,Painting in the style of Agostino Tassi,1
688,137,Agostino Tassi,A reproduction of art by Agostino Tassi,1
689,137,Agostino Tassi,A famous artwork by Agostino Tassi,1
690,138,Ai Weiwei,Image in the style of Ai Weiwei,1
691,138,Ai Weiwei,Art inspired by Ai Weiwei,1
692,138,Ai Weiwei,Painting in the style of Ai Weiwei,1
693,138,Ai Weiwei,A reproduction of art by Ai Weiwei,1
694,138,Ai Weiwei,A famous artwork by Ai Weiwei,1
695,139,Ai Yazawa,Image in the style of Ai Yazawa,1
696,139,Ai Yazawa,Art inspired by Ai Yazawa,1
697,139,Ai Yazawa,Painting in the style of Ai Yazawa,1
698,139,Ai Yazawa,A reproduction of art by Ai Yazawa,1
699,139,Ai Yazawa,A famous artwork by Ai Yazawa,1
700,140,Akihiko Yoshida,Image in the style of Akihiko Yoshida,1
701,140,Akihiko Yoshida,Art inspired by Akihiko Yoshida,1
702,140,Akihiko Yoshida,Painting in the style of Akihiko Yoshida,1
703,140,Akihiko Yoshida,A reproduction of art by Akihiko Yoshida,1
704,140,Akihiko Yoshida,A famous artwork by Akihiko Yoshida,1
705,141,Akira Toriyama,Image in the style of Akira Toriyama,1
706,141,Akira Toriyama,Art inspired by Akira Toriyama,1
707,141,Akira Toriyama,Painting in the style of Akira Toriyama,1
708,141,Akira Toriyama,A reproduction of art by Akira Toriyama,1
709,141,Akira Toriyama,A famous artwork by Akira Toriyama,1
710,142,Akos Major,Image in the style of Akos Major,1
711,142,Akos Major,Art inspired by Akos Major,1
712,142,Akos Major,Painting in the style of Akos Major,1
713,142,Akos Major,A reproduction of art by Akos Major,1
714,142,Akos Major,A famous artwork by Akos Major,1
715,143,Akseli Gallen-Kallela,Image in the style of Akseli Gallen-Kallela,1
716,143,Akseli Gallen-Kallela,Art inspired by Akseli Gallen-Kallela,1
717,143,Akseli Gallen-Kallela,Painting in the style of Akseli Gallen-Kallela,1
718,143,Akseli Gallen-Kallela,A reproduction of art by Akseli Gallen-Kallela,1
719,143,Akseli Gallen-Kallela,A famous artwork by Akseli Gallen-Kallela,1
720,144,Al Capp,Image in the style of Al Capp,1
721,144,Al Capp,Art inspired by Al Capp,1
722,144,Al Capp,Painting in the style of Al Capp,1
723,144,Al Capp,A reproduction of art by Al Capp,1
724,144,Al Capp,A famous artwork by Al Capp,1
725,145,Al Feldstein,Image in the style of Al Feldstein,1
726,145,Al Feldstein,Art inspired by Al Feldstein,1
727,145,Al Feldstein,Painting in the style of Al Feldstein,1
728,145,Al Feldstein,A reproduction of art by Al Feldstein,1
729,145,Al Feldstein,A famous artwork by Al Feldstein,1
730,146,Al Williamson,Image in the style of Al Williamson,1
731,146,Al Williamson,Art inspired by Al Williamson,1
732,146,Al Williamson,Painting in the style of Al Williamson,1
733,146,Al Williamson,A reproduction of art by Al Williamson,1
734,146,Al Williamson,A famous artwork by Al Williamson,1
735,147,Alain Laboile,Image in the style of Alain Laboile,1
736,147,Alain Laboile,Art inspired by Alain Laboile,1
737,147,Alain Laboile,Painting in the style of Alain Laboile,1
738,147,Alain Laboile,A reproduction of art by Alain Laboile,1
739,147,Alain Laboile,A famous artwork by Alain Laboile,1
740,148,Alan Bean,Image in the style of Alan Bean,1
741,148,Alan Bean,Art inspired by Alan Bean,1
742,148,Alan Bean,Painting in the style of Alan Bean,1
743,148,Alan Bean,A reproduction of art by Alan Bean,1
744,148,Alan Bean,A famous artwork by Alan Bean,1
745,149,Alan Davis,Image in the style of Alan Davis,1
746,149,Alan Davis,Art inspired by Alan Davis,1
747,149,Alan Davis,Painting in the style of Alan Davis,1
748,149,Alan Davis,A reproduction of art by Alan Davis,1
749,149,Alan Davis,A famous artwork by Alan Davis,1
750,150,Alan Kenny,Image in the style of Alan Kenny,1
751,150,Alan Kenny,Art inspired by Alan Kenny,1
752,150,Alan Kenny,Painting in the style of Alan Kenny,1
753,150,Alan Kenny,A reproduction of art by Alan Kenny,1
754,150,Alan Kenny,A famous artwork by Alan Kenny,1
755,151,Alan Lee,Image in the style of Alan Lee,1
756,151,Alan Lee,Art inspired by Alan Lee,1
757,151,Alan Lee,Painting in the style of Alan Lee,1
758,151,Alan Lee,A reproduction of art by Alan Lee,1
759,151,Alan Lee,A famous artwork by Alan Lee,1
760,152,Alan Moore,Image in the style of Alan Moore,1
761,152,Alan Moore,Art inspired by Alan Moore,1
762,152,Alan Moore,Painting in the style of Alan Moore,1
763,152,Alan Moore,A reproduction of art by Alan Moore,1
764,152,Alan Moore,A famous artwork by Alan Moore,1
765,153,Alan Parry,Image in the style of Alan Parry,1
766,153,Alan Parry,Art inspired by Alan Parry,1
767,153,Alan Parry,Painting in the style of Alan Parry,1
768,153,Alan Parry,A reproduction of art by Alan Parry,1
769,153,Alan Parry,A famous artwork by Alan Parry,1
770,154,Alan Schaller,Image in the style of Alan Schaller,1
771,154,Alan Schaller,Art inspired by Alan Schaller,1
772,154,Alan Schaller,Painting in the style of Alan Schaller,1
773,154,Alan Schaller,A reproduction of art by Alan Schaller,1
774,154,Alan Schaller,A famous artwork by Alan Schaller,1
775,155,Alasdair McLellan,Image in the style of Alasdair McLellan,1
776,155,Alasdair McLellan,Art inspired by Alasdair McLellan,1
777,155,Alasdair McLellan,Painting in the style of Alasdair McLellan,1
778,155,Alasdair McLellan,A reproduction of art by Alasdair McLellan,1
779,155,Alasdair McLellan,A famous artwork by Alasdair McLellan,1
780,156,Alastair Magnaldo,Image in the style of Alastair Magnaldo,1
781,156,Alastair Magnaldo,Art inspired by Alastair Magnaldo,1
782,156,Alastair Magnaldo,Painting in the style of Alastair Magnaldo,1
783,156,Alastair Magnaldo,A reproduction of art by Alastair Magnaldo,1
784,156,Alastair Magnaldo,A famous artwork by Alastair Magnaldo,1
785,157,Alayna Lemmer,Image in the style of Alayna Lemmer,1
786,157,Alayna Lemmer,Art inspired by Alayna Lemmer,1
787,157,Alayna Lemmer,Painting in the style of Alayna Lemmer,1
788,157,Alayna Lemmer,A reproduction of art by Alayna Lemmer,1
789,157,Alayna Lemmer,A famous artwork by Alayna Lemmer,1
790,158,Albert Benois,Image in the style of Albert Benois,1
791,158,Albert Benois,Art inspired by Albert Benois,1
792,158,Albert Benois,Painting in the style of Albert Benois,1
793,158,Albert Benois,A reproduction of art by Albert Benois,1
794,158,Albert Benois,A famous artwork by Albert Benois,1
795,159,Albert Bierstadt,Image in the style of Albert Bierstadt,1
796,159,Albert Bierstadt,Art inspired by Albert Bierstadt,1
797,159,Albert Bierstadt,Painting in the style of Albert Bierstadt,1
798,159,Albert Bierstadt,A reproduction of art by Albert Bierstadt,1
799,159,Albert Bierstadt,A famous artwork by Albert Bierstadt,1
800,160,Albert Bloch,Image in the style of Albert Bloch,1
801,160,Albert Bloch,Art inspired by Albert Bloch,1
802,160,Albert Bloch,Painting in the style of Albert Bloch,1
803,160,Albert Bloch,A reproduction of art by Albert Bloch,1
804,160,Albert Bloch,A famous artwork by Albert Bloch,1
805,161,Albert Dubois-Pillet,Image in the style of Albert Dubois-Pillet,1
806,161,Albert Dubois-Pillet,Art inspired by Albert Dubois-Pillet,1
807,161,Albert Dubois-Pillet,Painting in the style of Albert Dubois-Pillet,1
808,161,Albert Dubois-Pillet,A reproduction of art by Albert Dubois-Pillet,1
809,161,Albert Dubois-Pillet,A famous artwork by Albert Dubois-Pillet,1
810,162,Albert Eckhout,Image in the style of Albert Eckhout,1
811,162,Albert Eckhout,Art inspired by Albert Eckhout,1
812,162,Albert Eckhout,Painting in the style of Albert Eckhout,1
813,162,Albert Eckhout,A reproduction of art by Albert Eckhout,1
814,162,Albert Eckhout,A famous artwork by Albert Eckhout,1
815,163,Albert Edelfelt,Image in the style of Albert Edelfelt,1
816,163,Albert Edelfelt,Art inspired by Albert Edelfelt,1
817,163,Albert Edelfelt,Painting in the style of Albert Edelfelt,1
818,163,Albert Edelfelt,A reproduction of art by Albert Edelfelt,1
819,163,Albert Edelfelt,A famous artwork by Albert Edelfelt,1
820,164,Albert Gleizes,Image in the style of Albert Gleizes,1
821,164,Albert Gleizes,Art inspired by Albert Gleizes,1
822,164,Albert Gleizes,Painting in the style of Albert Gleizes,1
823,164,Albert Gleizes,A reproduction of art by Albert Gleizes,1
824,164,Albert Gleizes,A famous artwork by Albert Gleizes,1
825,165,Albert Goodwin,Image in the style of Albert Goodwin,1
826,165,Albert Goodwin,Art inspired by Albert Goodwin,1
827,165,Albert Goodwin,Painting in the style of Albert Goodwin,1
828,165,Albert Goodwin,A reproduction of art by Albert Goodwin,1
829,165,Albert Goodwin,A famous artwork by Albert Goodwin,1
830,166,Albert Joseph Moore,Image in the style of Albert Joseph Moore,1
831,166,Albert Joseph Moore,Art inspired by Albert Joseph Moore,1
832,166,Albert Joseph Moore,Painting in the style of Albert Joseph Moore,1
833,166,Albert Joseph Moore,A reproduction of art by Albert Joseph Moore,1
834,166,Albert Joseph Moore,A famous artwork by Albert Joseph Moore,1
835,167,Albert Koetsier,Image in the style of Albert Koetsier,1
836,167,Albert Koetsier,Art inspired by Albert Koetsier,1
837,167,Albert Koetsier,Painting in the style of Albert Koetsier,1
838,167,Albert Koetsier,A reproduction of art by Albert Koetsier,1
839,167,Albert Koetsier,A famous artwork by Albert Koetsier,1
840,168,Albert Kotin,Image in the style of Albert Kotin,1
841,168,Albert Kotin,Art inspired by Albert Kotin,1
842,168,Albert Kotin,Painting in the style of Albert Kotin,1
843,168,Albert Kotin,A reproduction of art by Albert Kotin,1
844,168,Albert Kotin,A famous artwork by Albert Kotin,1
845,169,Albert Lynch,Image in the style of Albert Lynch,1
846,169,Albert Lynch,Art inspired by Albert Lynch,1
847,169,Albert Lynch,Painting in the style of Albert Lynch,1
848,169,Albert Lynch,A reproduction of art by Albert Lynch,1
849,169,Albert Lynch,A famous artwork by Albert Lynch,1
850,170,Albert Marquet,Image in the style of Albert Marquet,1
851,170,Albert Marquet,Art inspired by Albert Marquet,1
852,170,Albert Marquet,Painting in the style of Albert Marquet,1
853,170,Albert Marquet,A reproduction of art by Albert Marquet,1
854,170,Albert Marquet,A famous artwork by Albert Marquet,1
855,171,Albert Pinkham Ryder,Image in the style of Albert Pinkham Ryder,1
856,171,Albert Pinkham Ryder,Art inspired by Albert Pinkham Ryder,1
857,171,Albert Pinkham Ryder,Painting in the style of Albert Pinkham Ryder,1
858,171,Albert Pinkham Ryder,A reproduction of art by Albert Pinkham Ryder,1
859,171,Albert Pinkham Ryder,A famous artwork by Albert Pinkham Ryder,1
860,172,Albert Robida,Image in the style of Albert Robida,1
861,172,Albert Robida,Art inspired by Albert Robida,1
862,172,Albert Robida,Painting in the style of Albert Robida,1
863,172,Albert Robida,A reproduction of art by Albert Robida,1
864,172,Albert Robida,A famous artwork by Albert Robida,1
865,173,Albert Servaes,Image in the style of Albert Servaes,1
866,173,Albert Servaes,Art inspired by Albert Servaes,1
867,173,Albert Servaes,Painting in the style of Albert Servaes,1
868,173,Albert Servaes,A reproduction of art by Albert Servaes,1
869,173,Albert Servaes,A famous artwork by Albert Servaes,1
870,174,Albert Tucker,Image in the style of Albert Tucker,1
871,174,Albert Tucker,Art inspired by Albert Tucker,1
872,174,Albert Tucker,Painting in the style of Albert Tucker,1
873,174,Albert Tucker,A reproduction of art by Albert Tucker,1
874,174,Albert Tucker,A famous artwork by Albert Tucker,1
875,175,Albert Watson,Image in the style of Albert Watson,1
876,175,Albert Watson,Art inspired by Albert Watson,1
877,175,Albert Watson,Painting in the style of Albert Watson,1
878,175,Albert Watson,A reproduction of art by Albert Watson,1
879,175,Albert Watson,A famous artwork by Albert Watson,1
880,176,Alberto Biasi,Image in the style of Alberto Biasi,1
881,176,Alberto Biasi,Art inspired by Alberto Biasi,1
882,176,Alberto Biasi,Painting in the style of Alberto Biasi,1
883,176,Alberto Biasi,A reproduction of art by Alberto Biasi,1
884,176,Alberto Biasi,A famous artwork by Alberto Biasi,1
885,177,Alberto Burri,Image in the style of Alberto Burri,1
886,177,Alberto Burri,Art inspired by Alberto Burri,1
887,177,Alberto Burri,Painting in the style of Alberto Burri,1
888,177,Alberto Burri,A reproduction of art by Alberto Burri,1
889,177,Alberto Burri,A famous artwork by Alberto Burri,1
890,178,Alberto Giacometti,Image in the style of Alberto Giacometti,1
891,178,Alberto Giacometti,Art inspired by Alberto Giacometti,1
892,178,Alberto Giacometti,Painting in the style of Alberto Giacometti,1
893,178,Alberto Giacometti,A reproduction of art by Alberto Giacometti,1
894,178,Alberto Giacometti,A famous artwork by Alberto Giacometti,1
895,179,Alberto Magnelli,Image in the style of Alberto Magnelli,1
896,179,Alberto Magnelli,Art inspired by Alberto Magnelli,1
897,179,Alberto Magnelli,Painting in the style of Alberto Magnelli,1
898,179,Alberto Magnelli,A reproduction of art by Alberto Magnelli,1
899,179,Alberto Magnelli,A famous artwork by Alberto Magnelli,1
900,180,Alberto Seveso,Image in the style of Alberto Seveso,1
901,180,Alberto Seveso,Art inspired by Alberto Seveso,1
902,180,Alberto Seveso,Painting in the style of Alberto Seveso,1
903,180,Alberto Seveso,A reproduction of art by Alberto Seveso,1
904,180,Alberto Seveso,A famous artwork by Alberto Seveso,1
905,181,Alberto Sughi,Image in the style of Alberto Sughi,1
906,181,Alberto Sughi,Art inspired by Alberto Sughi,1
907,181,Alberto Sughi,Painting in the style of Alberto Sughi,1
908,181,Alberto Sughi,A reproduction of art by Alberto Sughi,1
909,181,Alberto Sughi,A famous artwork by Alberto Sughi,1
910,182,Alberto Vargas,Image in the style of Alberto Vargas,1
911,182,Alberto Vargas,Art inspired by Alberto Vargas,1
912,182,Alberto Vargas,Painting in the style of Alberto Vargas,1
913,182,Alberto Vargas,A reproduction of art by Alberto Vargas,1
914,182,Alberto Vargas,A famous artwork by Alberto Vargas,1
915,183,Albrecht Anker,Image in the style of Albrecht Anker,1
916,183,Albrecht Anker,Art inspired by Albrecht Anker,1
917,183,Albrecht Anker,Painting in the style of Albrecht Anker,1
918,183,Albrecht Anker,A reproduction of art by Albrecht Anker,1
919,183,Albrecht Anker,A famous artwork by Albrecht Anker,1
920,184,Albrecht Durer,Image in the style of Albrecht Durer,1
921,184,Albrecht Durer,Art inspired by Albrecht Durer,1
922,184,Albrecht Durer,Painting in the style of Albrecht Durer,1
923,184,Albrecht Durer,A reproduction of art by Albrecht Durer,1
924,184,Albrecht Durer,A famous artwork by Albrecht Durer,1
925,185,Alec Soth,Image in the style of Alec Soth,1
926,185,Alec Soth,Art inspired by Alec Soth,1
927,185,Alec Soth,Painting in the style of Alec Soth,1
928,185,Alec Soth,A reproduction of art by Alec Soth,1
929,185,Alec Soth,A famous artwork by Alec Soth,1
930,186,Alejandro Burdisio,Image in the style of Alejandro Burdisio,1
931,186,Alejandro Burdisio,Art inspired by Alejandro Burdisio,1
932,186,Alejandro Burdisio,Painting in the style of Alejandro Burdisio,1
933,186,Alejandro Burdisio,A reproduction of art by Alejandro Burdisio,1
934,186,Alejandro Burdisio,A famous artwork by Alejandro Burdisio,1
935,187,Alejandro Jodorowsky,Image in the style of Alejandro Jodorowsky,1
936,187,Alejandro Jodorowsky,Art inspired by Alejandro Jodorowsky,1
937,187,Alejandro Jodorowsky,Painting in the style of Alejandro Jodorowsky,1
938,187,Alejandro Jodorowsky,A reproduction of art by Alejandro Jodorowsky,1
939,187,Alejandro Jodorowsky,A famous artwork by Alejandro Jodorowsky,1
940,188,Aleksey Savrasov,Image in the style of Aleksey Savrasov,1
941,188,Aleksey Savrasov,Art inspired by Aleksey Savrasov,1
942,188,Aleksey Savrasov,Painting in the style of Aleksey Savrasov,1
943,188,Aleksey Savrasov,A reproduction of art by Aleksey Savrasov,1
944,188,Aleksey Savrasov,A famous artwork by Aleksey Savrasov,1
945,189,Aleksi Briclot,Image in the style of Aleksi Briclot,1
946,189,Aleksi Briclot,Art inspired by Aleksi Briclot,1
947,189,Aleksi Briclot,Painting in the style of Aleksi Briclot,1
948,189,Aleksi Briclot,A reproduction of art by Aleksi Briclot,1
949,189,Aleksi Briclot,A famous artwork by Aleksi Briclot,1
950,190,Alena Aenami,Image in the style of Alena Aenami,1
951,190,Alena Aenami,Art inspired by Alena Aenami,1
952,190,Alena Aenami,Painting in the style of Alena Aenami,1
953,190,Alena Aenami,A reproduction of art by Alena Aenami,1
954,190,Alena Aenami,A famous artwork by Alena Aenami,1
955,191,Alessandro Allori,Image in the style of Alessandro Allori,1
956,191,Alessandro Allori,Art inspired by Alessandro Allori,1
957,191,Alessandro Allori,Painting in the style of Alessandro Allori,1
958,191,Alessandro Allori,A reproduction of art by Alessandro Allori,1
959,191,Alessandro Allori,A famous artwork by Alessandro Allori,1
960,192,Alessandro Barbucci,Image in the style of Alessandro Barbucci,1
961,192,Alessandro Barbucci,Art inspired by Alessandro Barbucci,1
962,192,Alessandro Barbucci,Painting in the style of Alessandro Barbucci,1
963,192,Alessandro Barbucci,A reproduction of art by Alessandro Barbucci,1
964,192,Alessandro Barbucci,A famous artwork by Alessandro Barbucci,1
965,193,Alessandro Gottardo,Image in the style of Alessandro Gottardo,1
966,193,Alessandro Gottardo,Art inspired by Alessandro Gottardo,1
967,193,Alessandro Gottardo,Painting in the style of Alessandro Gottardo,1
968,193,Alessandro Gottardo,A reproduction of art by Alessandro Gottardo,1
969,193,Alessandro Gottardo,A famous artwork by Alessandro Gottardo,1
970,194,Alessio Albi,Image in the style of Alessio Albi,1
971,194,Alessio Albi,Art inspired by Alessio Albi,1
972,194,Alessio Albi,Painting in the style of Alessio Albi,1
973,194,Alessio Albi,A reproduction of art by Alessio Albi,1
974,194,Alessio Albi,A famous artwork by Alessio Albi,1
975,195,Alex Alemany,Image in the style of Alex Alemany,1
976,195,Alex Alemany,Art inspired by Alex Alemany,1
977,195,Alex Alemany,Painting in the style of Alex Alemany,1
978,195,Alex Alemany,A reproduction of art by Alex Alemany,1
979,195,Alex Alemany,A famous artwork by Alex Alemany,1
980,196,Alex Andreev,Image in the style of Alex Andreev,1
981,196,Alex Andreev,Art inspired by Alex Andreev,1
982,196,Alex Andreev,Painting in the style of Alex Andreev,1
983,196,Alex Andreev,A reproduction of art by Alex Andreev,1
984,196,Alex Andreev,A famous artwork by Alex Andreev,1
985,197,Alex Colville,Image in the style of Alex Colville,1
986,197,Alex Colville,Art inspired by Alex Colville,1
987,197,Alex Colville,Painting in the style of Alex Colville,1
988,197,Alex Colville,A reproduction of art by Alex Colville,1
989,197,Alex Colville,A famous artwork by Alex Colville,1
990,198,Alex Figini,Image in the style of Alex Figini,1
991,198,Alex Figini,Art inspired by Alex Figini,1
992,198,Alex Figini,Painting in the style of Alex Figini,1
993,198,Alex Figini,A reproduction of art by Alex Figini,1
994,198,Alex Figini,A famous artwork by Alex Figini,1
995,199,Alex Garant,Image in the style of Alex Garant,1
996,199,Alex Garant,Art inspired by Alex Garant,1
997,199,Alex Garant,Painting in the style of Alex Garant,1
998,199,Alex Garant,A reproduction of art by Alex Garant,1
999,199,Alex Garant,A famous artwork by Alex Garant,1
